,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,forum Q,forum A,office hour visits,dropout
56,Y,second,49,18,C,19,20,C,91,D,58,A,A,A,12,2,4,N
57,Y,first,25,13,D,53,5,B,75,C,84,C,A,A,6,24,8,N
58,Y,second,83,89,A,91,58,D,34,F,13,C,A,C,6,2,4,N
59,N,second,25,53,A,32,89,F,,,,,,,1,4,0,Y
60,Y,second,34,57,C,41,15,F,,,,,,,4,0,1,Y
61,Y,third,51,65,F,64,20,A,23,A,10,A,B,A,6,6,1,N
62,N,third,53,58,B,44,56,F,,,,,,,7,1,2,Y
63,N,third,34,53,D,10,16,D,,,,,,,2,0,1,Y
64,N,third,2,38,F,,,,,,,,,,0,2,1,Y
65,Y,first,80,10,A,95,38,F,57,B,44,F,D,F,15,3,2,N
66,Y,third,1,49,A,14,34,F,7,D,11,F,A,F,11,6,3,Y
67,N,third,78,56,C,30,95,B,48,B,84,F,A,B,9,4,7,N
68,Y,third,55,90,D,97,49,B,33,B,69,C,F,B,14,2,1,N
69,Y,first,16,12,F,78,21,F,26,F,,,,,3,0,1,Y
70,N,third,65,98,F,5,53,A,76,F,,,,,8,3,1,Y
71,Y,third,52,61,B,98,76,F,80,C,12,B,B,C,7,7,4,N
72,Y,third,74,75,D,63,92,D,29,D,35,F,F,F,4,3,0,Y
73,N,third,25,69,B,61,34,C,,,,,,,0,2,0,Y
74,Y,third,78,82,B,62,56,C,74,F,29,A,C,C,10,5,1,N
75,N,third,18,66,A,4,46,C,78,F,,,,,2,0,2,Y
76,N,third,29,63,C,37,25,C,,,,,,,4,1,0,Y
77,N,second,6,6,A,4,51,F,47,D,20,B,C,C,2,1,2,N
78,N,second,1,72,A,91,35,A,91,A,71,B,F,A,14,18,3,N
79,Y,third,41,38,D,2,2,F,,,,,,,4,1,0,Y
80,Y,third,52,89,C,55,23,B,71,B,71,A,A,C,13,5,2,N
81,Y,third,74,18,B,91,90,F,58,A,61,A,D,D,19,7,2,N
82,Y,first,98,6,D,5,56,B,90,C,70,B,B,D,10,14,2,N
83,Y,first,20,10,D,67,70,F,40,D,60,B,F,F,11,1,3,Y
84,N,third,10,38,A,31,39,F,74,F,,,,,11,4,3,Y
85,N,third,81,54,C,56,89,F,,,,,,,6,4,2,Y
86,Y,third,62,39,A,66,73,C,45,B,77,A,A,F,3,5,3,N
87,Y,third,87,89,A,70,19,A,56,C,35,D,F,D,10,8,3,N
88,N,third,20,87,B,14,28,C,37,D,35,F,C,C,6,12,5,N
89,Y,third,9,9,F,,,,,,,,,,1,0,1,Y
90,N,third,0,9,F,,,,,,,,,,7,2,1,Y
91,N,third,8,98,F,51,46,A,75,F,,,,,9,0,0,Y
92,Y,third,17,13,F,50,51,B,56,A,33,D,F,F,8,1,0,Y
93,Y,second,28,43,A,10,4,F,,,,,,,1,1,1,Y
94,Y,second,55,71,A,78,45,B,46,A,78,C,F,A,15,5,1,N
95,Y,third,43,41,D,15,50,F,,,,,,,1,1,1,Y
96,Y,first,98,20,F,34,14,D,8,B,49,A,B,C,5,23,8,N
97,Y,first,35,91,F,96,60,B,79,A,47,C,A,A,6,6,3,N
98,Y,first,33,55,D,8,34,F,,,,,,,0,1,1,Y
99,Y,first,75,26,D,1,61,F,29,B,2,F,F,F,0,6,3,Y
100,Y,third,73,92,C,57,34,C,54,B,82,C,F,C,13,6,1,N
101,N,third,58,72,D,28,53,A,53,D,53,D,D,F,15,8,9,N
102,N,first,88,50,F,32,69,D,,,,,,,7,4,0,Y
103,N,third,11,22,F,39,47,D,87,C,82,A,D,C,23,4,4,N
104,Y,first,3,8,C,,,,,,,,,,0,0,1,Y
105,Y,first,57,51,D,91,69,B,43,A,95,F,F,A,7,8,3,N
106,Y,third,16,14,F,,,,,,,,,,0,0,0,Y
107,Y,third,21,55,D,7,36,F,,,,,,,1,1,1,Y
108,Y,first,17,0,F,,,,,,,,,,2,1,1,Y
109,N,second,11,2,F,29,47,C,72,B,87,A,B,C,13,3,6,N
110,N,third,2,3,A,5,18,A,49,A,25,A,A,A,2,2,1,N
111,Y,first,53,58,D,45,19,F,,,,,,,1,0,1,Y
112,N,third,5,11,A,2,9,A,47,D,25,A,D,D,2,1,2,N
113,Y,first,38,64,A,65,20,A,2,F,66,D,D,B,11,12,6,N
114,Y,second,2,10,C,,,,,,,,,,3,0,1,Y
115,N,third,2,5,F,12,10,B,45,A,23,C,C,A,2,1,2,N
116,N,third,67,99,F,1,7,A,27,B,2,C,B,D,4,24,7,N
117,Y,first,12,13,D,40,31,C,96,B,23,B,D,D,4,6,7,N
118,Y,second,84,17,A,96,35,C,58,D,42,A,A,A,4,6,1,N
119,N,third,16,27,F,39,38,D,54,C,62,B,F,C,26,5,4,N
120,Y,first,16,47,A,10,55,C,44,D,17,F,B,D,8,1,2,Y
121,N,first,1,5,D,45,45,C,94,C,74,B,B,B,18,3,6,N
122,Y,second,36,58,D,45,9,F,,,,,,,4,1,1,Y
123,N,first,45,43,F,8,2,A,97,C,7,B,D,D,6,1,6,N
124,N,first,17,8,F,51,32,D,97,B,34,B,A,A,24,16,4,N
125,N,third,64,62,D,39,30,D,,,,,,,6,2,2,Y
126,Y,first,18,18,F,,,,,,,,,,1,1,0,Y
127,N,third,50,90,A,32,40,F,,,,,,,0,1,1,Y
128,N,second,11,18,F,45,42,C,62,B,75,B,A,C,12,18,5,N
129,N,third,7,13,F,,,,,,,,,,7,2,0,Y
130,N,third,3,8,F,22,35,C,73,B,28,A,B,C,18,4,8,N
131,Y,second,6,63,D,80,87,C,46,C,16,A,F,D,7,4,0,Y
132,Y,second,74,48,C,72,20,C,47,D,17,F,F,F,12,8,2,Y
133,Y,first,1,29,B,6,2,C,32,D,34,F,D,D,6,2,3,Y
134,Y,second,19,2,F,45,35,D,62,C,84,C,D,B,14,3,4,N
135,Y,third,85,36,A,74,73,A,27,C,84,A,C,C,14,2,3,N
136,Y,third,56,47,C,31,23,F,,,,,,,0,1,0,Y
137,Y,first,9,34,C,30,34,D,75,C,7,A,A,B,12,12,7,N
138,N,second,57,67,B,36,72,F,,,,,,,2,0,2,Y
139,Y,first,19,11,B,,,,,,,,,,3,0,0,Y
140,N,second,20,54,D,19,51,D,,,,,,,7,0,1,Y
141,Y,second,54,47,A,69,0,D,,,,,,,0,1,1,Y
142,Y,third,1,6,F,,,,,,,,,,0,1,1,Y
143,Y,first,29,7,C,14,83,D,62,B,3,D,F,D,2,2,3,Y
144,N,second,48,93,B,76,74,F,83,B,,,,,2,0,0,Y
145,Y,third,5,62,B,21,43,C,48,D,,,,,5,1,0,Y
146,Y,third,18,23,B,17,53,C,11,D,33,F,A,F,11,7,0,Y
147,N,third,26,19,F,,,,,,,,,,4,1,1,Y
148,Y,third,31,75,F,80,67,A,61,C,59,A,A,A,10,7,5,N
149,Y,second,44,38,B,60,27,C,82,F,37,C,A,C,11,2,2,N
150,Y,second,75,69,D,35,71,F,16,C,31,F,C,F,11,1,2,Y
151,Y,third,68,58,B,65,55,B,75,B,66,A,F,C,5,4,4,N
152,Y,second,12,28,D,52,31,F,73,A,90,A,C,B,24,18,4,N
153,Y,second,9,4,D,49,43,B,85,C,92,C,C,B,26,9,7,N
154,Y,second,51,57,C,62,5,F,,,,,,,1,2,0,Y
155,Y,first,18,1,F,77,69,A,74,D,50,D,D,A,3,20,1,N
156,Y,second,38,12,F,59,52,F,43,D,,,,,9,1,0,Y
157,Y,third,19,78,B,40,97,A,47,F,3,F,B,F,13,2,1,Y
158,Y,second,68,68,A,45,96,A,6,F,35,A,F,C,6,9,3,N
159,Y,third,36,77,B,50,69,C,45,C,15,F,F,C,11,4,1,Y
160,N,third,19,37,F,,,,,,,,,,2,2,0,Y
161,N,second,10,11,F,,,,,,,,,,1,1,1,Y
162,Y,second,15,76,A,85,31,A,47,F,66,B,F,B,6,8,4,N
163,Y,first,39,35,D,9,39,F,,,,,,,3,1,0,Y
164,Y,third,57,73,F,2,52,B,56,D,,,,,2,3,0,Y
165,Y,second,17,22,F,33,33,C,47,C,64,D,D,B,11,10,5,N
166,Y,first,44,57,C,14,51,D,,,,,,,1,1,0,Y
167,Y,third,37,63,D,82,33,C,50,F,84,A,F,A,10,6,2,N
168,N,first,58,75,C,99,85,B,64,B,25,B,B,D,11,7,9,N
169,N,third,96,56,A,24,83,C,17,A,35,B,F,B,4,20,6,N
170,N,second,44,55,D,41,69,C,,,,,,,1,0,0,Y
171,Y,second,72,27,C,14,94,B,73,B,53,A,C,D,0,23,5,N
172,N,third,92,98,D,77,78,D,,,,,,,6,3,0,Y
173,Y,third,94,36,A,66,95,A,3,D,51,B,D,A,13,20,9,N
174,N,first,92,82,B,96,88,C,64,D,56,F,A,F,4,4,9,N
175,Y,first,30,45,F,42,23,C,,,,,,,0,1,0,Y
176,N,third,75,29,A,73,79,C,67,F,,,,,2,1,2,Y
177,Y,second,36,42,D,8,37,C,,,,,,,0,0,1,Y
178,N,third,54,66,C,28,53,D,,,,,,,7,0,2,Y
179,N,first,15,16,D,9,39,B,96,D,29,D,C,C,5,21,6,N
180,N,third,93,35,A,61,76,A,83,A,40,B,B,A,19,13,5,N
181,N,third,24,60,C,63,94,F,,,,,,,0,1,2,Y
182,Y,third,25,49,B,47,46,F,,,,,,,2,0,0,Y
183,N,second,22,16,F,,,,,,,,,,6,2,1,Y
184,Y,first,42,53,B,11,7,D,,,,,,,3,0,1,Y
185,Y,third,21,62,A,48,6,F,27,F,,,,,5,3,0,Y
186,N,third,61,37,C,40,66,A,76,B,,,,,6,0,0,Y
187,N,third,76,66,A,37,32,A,4,D,32,B,B,B,18,15,6,N
188,Y,third,91,97,A,72,35,F,67,D,12,C,F,A,7,7,4,N
189,Y,third,94,77,C,58,74,C,19,F,23,C,B,A,7,3,5,N
190,Y,third,73,85,C,81,41,C,68,F,56,B,A,C,12,6,4,N
191,Y,second,67,32,C,59,57,A,44,F,23,F,A,C,6,10,1,N
192,Y,second,71,48,C,42,84,A,23,F,3,F,A,F,2,7,3,Y
193,N,third,28,52,D,5,17,F,,,,,,,2,2,1,Y
194,Y,third,51,84,A,65,30,F,75,D,68,A,A,C,2,4,4,N
195,Y,third,40,12,F,85,64,A,40,F,16,A,C,B,3,4,4,N
196,Y,first,32,44,D,3,40,F,,,,,,,4,0,0,Y
197,Y,second,61,73,C,34,0,B,39,D,,,,,5,3,0,Y
198,N,first,46,94,D,67,74,A,68,C,38,B,A,A,14,3,5,N
199,N,third,52,6,D,64,9,F,72,B,,,,,5,0,0,Y
200,Y,third,66,66,A,52,50,B,17,F,55,A,F,A,11,9,2,N
201,Y,third,12,30,C,26,29,D,14,F,,,,,8,1,1,Y
202,Y,first,31,1,D,75,90,C,16,D,36,D,F,F,8,6,2,Y
203,N,third,18,94,F,69,80,C,43,A,54,C,C,C,1,21,7,N
204,N,first,3,21,F,44,50,B,97,A,86,B,C,B,4,11,5,N
205,Y,first,55,76,F,36,68,D,96,A,67,C,B,A,3,24,7,N
206,N,third,19,55,A,22,83,B,8,B,99,C,B,C,2,14,1,N
207,Y,third,59,1,A,84,82,F,73,A,51,B,D,A,16,20,5,N
208,Y,second,77,42,C,78,41,A,43,B,46,A,D,A,15,20,3,N
209,N,third,6,4,A,6,23,D,35,A,20,C,A,B,3,3,1,N
210,Y,third,52,59,B,35,19,F,,,,,,,1,1,1,Y
211,N,second,75,41,A,13,73,F,62,F,,,,,6,0,0,Y
212,Y,first,19,6,B,64,27,C,30,D,,,,,6,1,0,Y
213,Y,first,51,72,C,18,13,B,4,A,20,A,B,B,10,10,9,N
214,N,second,78,88,A,87,13,A,94,F,,,,,9,2,3,Y
215,Y,second,28,32,D,29,52,A,58,A,89,B,D,D,9,10,5,N
216,N,third,27,50,C,17,23,D,,,,,,,3,1,1,Y
217,N,third,77,90,C,87,58,F,76,F,,,,,1,2,3,Y
218,Y,third,2,13,A,11,57,D,46,B,28,A,C,C,0,1,1,N
219,N,first,49,84,B,21,45,F,85,D,43,C,B,F,6,15,8,N
220,N,third,61,38,B,86,18,B,85,C,15,A,A,A,9,14,6,N
221,Y,third,68,54,C,46,4,A,15,C,88,F,D,A,4,12,9,N
222,N,third,64,62,B,30,47,C,,,,,,,7,3,0,Y
223,N,third,62,60,A,70,73,A,85,F,,,,,5,1,2,Y
224,Y,third,44,9,B,65,73,A,28,B,14,C,A,B,3,4,1,N
225,Y,second,55,72,A,97,70,C,50,F,23,A,F,A,8,7,1,N
226,N,second,11,3,F,,,,,,,,,,1,1,0,Y
227,N,second,23,64,D,73,7,D,,,,,,,4,2,0,Y
228,N,second,78,83,F,83,90,D,,,,,,,1,4,0,Y
229,N,first,12,6,F,51,53,D,71,B,23,B,F,B,4,8,8,N
230,N,second,64,20,B,8,51,D,44,C,91,D,A,D,9,24,1,N
231,Y,first,10,8,C,,,,,,,,,,3,1,1,Y
232,N,third,5,9,F,41,44,B,77,B,41,C,C,B,16,16,5,N
233,N,third,97,46,A,88,68,A,17,B,82,A,B,B,6,8,4,N
234,Y,third,2,78,A,9,36,F,30,A,18,C,B,F,12,3,1,Y
235,N,third,71,94,A,62,94,A,,,,,,,0,1,2,Y
236,Y,second,78,36,B,28,96,A,4,A,1,F,C,F,9,0,0,Y
237,Y,first,26,47,D,23,44,F,,,,,,,3,1,1,Y
238,Y,second,9,29,F,35,21,A,36,A,12,F,F,D,5,7,0,Y
239,Y,second,8,16,A,4,16,C,30,A,28,F,D,C,4,1,1,N
240,N,third,27,60,B,22,40,D,,,,,,,1,3,1,Y
241,Y,third,72,47,D,90,52,B,70,C,75,A,A,D,2,5,3,N
242,Y,second,73,69,A,46,69,A,41,A,90,B,B,A,5,7,1,N
243,N,third,30,53,B,23,30,D,,,,,,,5,2,1,Y
244,N,second,72,87,A,86,88,F,,,,,,,7,1,2,Y
245,Y,first,44,36,C,18,30,F,,,,,,,1,1,0,Y
246,N,second,34,15,B,24,62,C,21,D,72,D,A,F,6,9,6,N
247,Y,third,84,48,B,99,62,B,66,F,22,A,D,A,8,7,9,N
248,Y,second,30,6,A,80,29,D,31,F,4,D,B,C,14,7,0,Y
249,Y,first,88,70,D,28,52,A,28,B,56,A,A,A,12,20,7,N
250,Y,third,59,67,D,54,47,B,52,B,78,D,F,B,5,7,2,N
251,Y,third,32,51,A,16,4,C,,,,,,,0,0,1,Y
252,Y,third,92,69,B,49,53,A,46,B,99,A,B,F,5,4,5,N
253,N,first,20,17,A,17,77,A,56,D,28,A,D,F,2,20,2,N
254,Y,first,14,15,D,48,31,D,47,F,78,C,D,D,25,11,5,N
255,N,first,89,74,A,99,74,D,67,A,65,D,C,A,10,6,1,N
256,N,third,88,38,B,56,89,A,12,C,46,F,F,F,13,4,2,N
257,Y,second,5,46,D,17,36,C,23,F,,,,,2,3,1,Y
258,Y,second,92,70,A,5,30,F,28,C,1,F,D,A,18,19,4,N
259,Y,first,7,4,D,,,,,,,,,,2,1,1,Y
260,Y,second,26,39,F,57,74,B,51,A,55,C,D,A,15,6,7,N
261,N,third,62,59,D,32,64,D,,,,,,,4,0,1,Y
262,Y,first,30,31,B,86,24,D,39,C,48,B,A,A,2,3,1,N
263,Y,first,3,3,B,,,,,,,,,,3,1,0,Y
264,Y,third,23,71,A,50,73,A,42,A,93,A,F,A,7,8,3,N
265,Y,third,17,9,C,,,,,,,,,,0,0,0,Y
266,Y,third,28,51,B,31,16,F,,,,,,,2,0,0,Y
267,Y,third,32,7,F,0,79,C,18,F,0,D,F,D,6,4,2,Y
268,Y,first,69,11,B,79,44,F,24,A,84,B,F,A,11,2,2,N
269,Y,third,89,5,F,90,54,A,34,B,69,B,B,C,18,11,1,N
270,N,third,69,69,A,61,14,C,58,F,,,,,1,4,2,Y
271,Y,first,96,61,C,14,19,B,9,C,16,F,F,D,12,1,0,Y
272,Y,third,98,93,C,60,62,A,42,F,74,A,A,A,11,2,4,N
273,Y,second,69,24,D,74,67,A,20,C,25,F,F,F,0,1,3,Y
274,N,first,66,70,B,10,53,C,33,C,19,A,B,A,1,10,3,N
275,Y,second,58,5,F,21,80,A,79,F,66,A,D,B,11,20,1,N
276,Y,third,71,65,B,91,67,A,4,B,80,A,F,B,10,7,3,N
277,N,first,18,4,D,30,44,F,58,C,45,A,A,C,10,11,5,N
278,Y,third,51,0,C,91,43,A,88,D,15,A,C,D,11,5,4,N
279,N,third,4,10,F,58,47,B,79,C,80,C,A,D,11,10,8,N
280,N,third,19,26,B,,,,,,,,,,3,0,0,Y
281,N,third,84,72,F,74,99,D,,,,,,,1,3,2,Y
282,Y,second,55,45,A,30,25,F,92,A,76,A,B,C,4,18,9,N
283,Y,second,92,36,F,58,0,A,25,D,20,D,B,F,0,7,2,Y
284,N,third,6,22,F,,,,,,,,,,3,1,0,Y
285,Y,third,45,72,B,82,25,B,13,B,74,B,D,A,8,5,3,N
286,N,third,80,58,C,79,79,D,,,,,,,2,2,0,Y
287,Y,second,44,24,F,73,58,B,56,F,,,,,9,2,1,Y
288,N,second,4,98,C,65,8,D,66,C,60,A,D,A,0,14,1,N
289,Y,third,47,25,A,96,22,A,81,F,61,F,F,D,4,7,1,N
290,Y,third,57,50,F,88,22,D,44,B,52,D,A,A,13,5,5,N
291,Y,second,36,24,A,34,7,A,2,C,19,B,D,A,0,3,8,N
292,N,second,36,25,D,99,71,B,5,D,66,D,A,C,16,11,1,N
293,Y,third,87,61,B,58,42,D,47,A,82,B,D,D,10,5,1,N
294,Y,third,55,55,D,57,10,F,,,,,,,0,2,1,Y
295,Y,third,68,37,C,74,86,A,30,A,64,F,F,C,15,4,4,N
296,Y,second,54,9,A,91,76,F,79,C,43,B,A,C,4,3,3,N
297,N,second,7,8,A,3,10,B,44,B,28,A,B,D,1,1,1,N
298,N,third,5,1,A,4,49,B,30,F,21,F,A,D,1,3,1,N
299,N,third,4,4,A,10,41,B,24,A,24,A,A,B,3,3,2,N
300,Y,first,6,18,F,,,,,,,,,,1,1,1,Y
301,Y,second,34,85,C,39,20,C,68,F,6,A,D,F,13,1,2,Y
302,N,second,79,77,F,87,63,F,,,,,,,0,0,0,Y
303,N,third,3,12,A,2,43,C,35,D,20,A,C,C,0,2,2,N
304,Y,second,76,4,A,57,33,A,79,F,52,A,F,A,6,2,1,N
305,Y,first,16,15,F,,,,,,,,,,0,1,1,Y
306,Y,second,12,29,D,25,50,D,52,C,30,A,B,D,15,17,5,N
307,Y,second,50,59,D,39,5,F,,,,,,,1,1,0,Y
308,Y,first,36,76,A,24,42,A,69,B,21,D,F,D,12,1,2,Y
309,Y,first,67,21,B,2,90,A,51,D,44,C,A,D,9,3,1,N
310,N,first,12,43,A,82,32,F,94,C,5,A,F,D,15,8,2,N
311,Y,first,20,76,B,31,54,B,30,F,,,,,0,0,0,Y
312,N,third,24,66,A,19,61,F,92,B,,,,,0,3,1,Y
313,Y,first,74,70,F,15,35,C,12,C,,,,,5,0,1,Y
314,Y,second,77,34,F,85,75,A,54,A,46,A,D,A,4,8,1,N
315,N,third,34,62,D,32,17,D,,,,,,,2,2,1,Y
316,N,first,19,23,C,77,2,B,93,D,81,B,A,A,4,16,6,N
317,N,third,2,38,F,,,,,,,,,,3,1,1,Y
318,Y,second,62,8,B,45,22,A,14,D,33,D,C,C,11,3,1,Y
319,Y,second,70,75,A,59,28,C,43,B,31,C,B,A,6,6,4,N
320,Y,third,87,90,C,50,28,A,85,D,78,A,D,A,4,3,1,N
321,Y,second,87,66,A,60,10,D,64,C,95,A,B,B,3,7,2,N
322,N,first,7,1,D,31,53,D,51,D,53,F,B,B,12,19,8,N
323,Y,second,53,10,C,45,95,C,19,B,18,F,F,F,7,0,3,Y
324,Y,second,1,18,F,39,53,D,87,B,67,D,F,B,26,9,6,N
325,Y,third,26,11,C,,,,,,,,,,0,1,1,Y
326,Y,first,42,2,A,80,92,A,58,D,6,C,F,F,3,8,3,Y
327,Y,second,59,47,C,67,12,F,,,,,,,0,0,0,Y
328,N,first,7,25,F,38,52,C,59,B,78,A,B,B,6,16,5,N
329,Y,second,13,6,F,,,,,,,,,,2,1,0,Y
330,Y,first,21,53,A,77,18,F,46,D,,,,,5,2,0,Y
331,Y,second,24,42,B,35,48,F,,,,,,,4,1,0,Y
332,Y,second,74,9,F,80,45,B,40,F,,,,,4,0,0,Y
333,Y,second,14,5,F,,,,,,,,,,1,1,1,Y
334,Y,second,30,49,B,48,59,D,,,,,,,4,0,1,Y
335,Y,second,86,55,D,33,27,F,,,,,,,5,2,0,Y
336,Y,second,14,16,A,28,72,A,30,C,77,A,D,D,0,14,8,N
337,Y,third,40,91,A,19,34,A,47,D,39,F,F,D,1,3,0,Y
338,Y,second,69,77,F,71,86,C,35,A,27,A,C,F,0,6,3,N
339,Y,second,71,42,D,15,41,C,3,D,34,F,D,C,3,4,0,Y
340,Y,second,92,80,D,74,65,F,83,F,43,B,A,C,9,2,4,N
341,Y,third,34,42,B,86,44,B,67,A,56,A,F,B,6,3,1,N
342,N,third,48,63,C,76,13,C,,,,,,,4,1,2,Y
343,Y,second,66,86,C,23,42,F,32,A,35,F,B,C,5,3,3,Y
344,Y,first,15,3,F,,,,,,,,,,1,0,1,Y
345,N,third,57,51,A,70,44,A,,,,,,,4,3,2,Y
346,N,third,8,3,F,10,13,C,48,A,21,C,B,B,2,1,2,N
347,Y,first,84,43,B,56,47,D,24,C,33,C,A,F,3,22,2,N
348,N,third,1,4,A,6,20,F,30,D,29,C,B,C,2,3,2,N
349,N,second,17,8,D,48,36,C,56,C,30,B,A,C,22,9,8,N
350,Y,third,39,79,A,86,68,A,42,A,35,C,F,A,4,4,2,N
351,Y,first,51,17,B,79,69,A,38,A,59,D,B,B,13,4,2,N
352,N,first,13,10,F,58,44,C,54,C,48,A,B,C,5,7,7,N
353,Y,second,41,45,F,11,40,C,,,,,,,2,1,0,Y
354,Y,second,70,71,A,65,56,C,12,F,91,F,A,A,6,8,3,N
355,N,second,30,69,D,96,33,F,94,F,,,,,10,2,2,Y
356,N,third,38,54,D,83,0,D,,,,,,,7,0,0,Y
357,Y,second,53,8,F,50,12,A,39,F,,,,,2,1,1,Y
358,Y,second,15,12,D,32,40,F,47,C,28,B,C,B,28,18,6,N
359,Y,first,30,45,C,48,41,C,,,,,,,0,1,0,Y
360,N,first,14,5,D,38,50,D,45,B,74,F,D,C,17,16,7,N
361,Y,second,20,56,A,98,38,B,20,B,76,C,C,A,6,9,3,N
362,N,third,11,77,D,13,17,F,58,F,,,,,3,0,2,Y
363,Y,third,60,47,A,71,76,A,35,C,45,A,A,D,6,4,2,N
364,Y,first,95,88,F,86,1,C,22,D,90,C,D,C,15,1,3,N
365,Y,first,80,59,A,78,66,C,31,A,39,A,F,B,3,10,1,N
366,N,second,76,24,D,51,94,D,82,A,66,C,A,A,4,20,9,N
367,N,second,83,0,B,55,44,B,91,F,,,,,5,1,2,Y
368,Y,second,28,48,D,6,45,B,50,D,,,,,7,0,1,Y
369,N,first,14,89,A,48,73,C,84,D,38,A,D,D,18,19,7,N
370,N,third,10,37,F,,,,,,,,,,7,1,0,Y
371,N,first,76,50,C,82,82,D,,,,,,,1,4,1,Y
372,Y,third,75,76,A,66,32,A,80,F,31,B,F,A,15,7,4,N
373,N,second,24,55,B,48,68,D,,,,,,,1,0,1,Y
374,N,second,11,2,F,59,32,C,50,B,97,C,B,A,19,4,7,N
375,Y,third,92,0,A,50,74,C,23,F,53,B,B,A,15,2,3,N
376,Y,third,4,1,F,13,48,F,35,A,28,B,C,C,2,1,1,N
